Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
No-Trade,0.249628,0.0,0.0,0.0,0.0,0.0,2.464852,0.0,2.927483,0.0,7.397292,0.0,0.0,0.0
No-Trade,0.250477,0.0,0.0,0.0,0.0,0.0,2.46978,0.0,2.93358,0.0,7.410889,0.0,0.0,0.0
No-Trade,0.249978,0.0,0.0,0.0,0.0,0.0,2.468732,0.0,2.930699,0.0,7.406051,0.0,0.0,0.0
No-Trade,0.249917,0.0,0.0,0.0,0.0,0.0,2.467343,0.0,2.928501,0.0,7.400962,0.0,0.0,0.0
