Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
RandomPriority,0.655636,1.008176,1.012691,-6.408305,6.704322,-2.316884,4.087276,2.439673,4.434677,0.325993,10.364656,1.581185,0.0,0.0
No-Trade,0.114567,0.0,0.0,0.0,0.0,0.0,1.692819,0.0,2.161086,0.0,6.094267,0.0,0.0,0.0
No-Trade,0.114852,0.0,0.0,0.0,0.0,0.0,1.696281,0.0,2.165165,0.0,6.102665,0.0,0.0,0.0
No-Trade,0.114945,0.0,0.0,0.0,0.0,0.0,1.692474,0.0,2.160403,0.0,6.094394,0.0,0.0,0.0
