Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
LearnedPriority,0.249586,1.415503,-4.623808,-22.598097,25.9469,-0.140499,2.958184,0.53327,3.674738,2.736141,8.661906,4.711889,0.0,0.0
LearnedPriority,0.250251,1.416921,-4.628536,-22.60664,25.959023,-0.140766,2.960273,0.532646,3.675774,2.734907,8.663528,4.70996,0.0,0.0
LearnedPriority,0.250504,1.40942,-4.627719,-22.605864,25.95501,-0.130847,2.960268,0.534426,3.675592,2.735398,8.663351,4.70891,0.0,0.0
LearnedPriority,0.249659,1.417121,-4.628511,-22.599577,25.934372,-0.123406,2.958208,0.533516,3.673553,2.734507,8.661412,4.712413,0.0,0.0
