Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
No-Trade,0.001143,0.0,0.0,0.0,0.0,0.0,0.198822,0.0,0.441935,0.0,3.385013,0.0,0.0,0.0
LearnedPriority,0.333024,1.647064,-2.210442,-16.387287,14.395104,2.555561,3.103567,0.355114,3.840808,2.75874,8.971724,4.747149,0.0,0.0
LearnedPriority,0.332985,1.643444,-2.213081,-16.393871,14.407465,2.556043,3.102842,0.352666,3.838693,2.757176,8.968571,4.743722,0.0,0.0
LearnedPriority,0.332848,1.6513,-2.212004,-16.393606,14.399925,2.554386,3.102491,0.354788,3.841068,2.757471,8.971617,4.745605,0.0,0.0
