Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
RandomPriority,0.057913,3.870967,4.239862,-3.563933,6.68603,-11.232926,1.702142,1.025769,1.958001,0.587754,5.777532,1.931079,0.0,0.0
LearnedPriority,0.314272,2.925875,-0.495179,-19.11574,16.152172,0.532871,3.132565,0.415668,3.787502,2.827372,8.868192,5.211233,0.0,0.0
LearnedPriority,0.313592,2.923163,-0.491185,-19.125034,16.149588,0.543469,3.13091,0.415241,3.785957,2.825559,8.863383,5.210819,0.0,0.0
LearnedPriority,0.314223,2.922328,-0.49018,-19.121204,16.155268,0.533788,3.133405,0.418705,3.788228,2.830242,8.86711,5.210778,0.0,0.0
