Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
No-Trade,0.001803,0.0,0.0,0.0,0.0,0.0,0.200659,0.0,0.378541,0.0,2.860484,0.0,0.0,0.0
RandomPriority,0.333506,5.06861,5.06687,-4.46944,6.493647,-12.159687,3.128518,1.495665,3.500169,0.697387,8.610592,2.115769,0.0,0.0
RandomPriority,0.332347,5.066732,5.064866,-4.450376,6.47553,-12.156752,3.122965,1.492007,3.493466,0.693416,8.604373,2.117179,0.0,0.0
RandomPriority,0.332344,5.069136,5.065141,-4.452619,6.481831,-12.163489,3.126496,1.495549,3.497282,0.695469,8.610247,2.116632,0.0,0.0
