Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
LearnedPriority,0.2843,4.422626,3.807446,-9.549627,11.381736,-10.062181,2.892472,0.387786,3.476935,2.429161,8.385938,4.707152,0.0,0.0
RandomPriority,0.238551,7.624363,7.704666,-3.408413,8.134129,-20.054745,2.825899,1.258352,3.125323,1.11469,7.84942,2.751382,0.0,0.0
RandomPriority,0.23816,7.622114,7.708663,-3.411779,8.132598,-20.051596,2.823445,1.25809,3.123121,1.113663,7.844723,2.752665,0.0,0.0
RandomPriority,0.238989,7.618985,7.705471,-3.40268,8.13682,-20.058596,2.82657,1.259144,3.126503,1.114739,7.851199,2.751575,0.0,0.0
