Player,Win %,Avg Brick RBT,Avg Wood RBT,Avg Wool RBT,Avg Wheat RBT,Avg Ore RBT,Avg City Total,Avg City BBT,Avg Settlement Total,Avg Settlement BBT,Avg Road Total,Avg Road BBT,Avg Card Total,Avg Card BBT
RandomPriority,0.250344,10.138655,10.132268,-1.117218,7.237566,-26.391272,2.896774,1.081697,3.205919,1.266306,8.002581,3.041747,0.0,0.0
RandomPriority,0.249557,10.141633,10.12518,-1.110022,7.240991,-26.397781,2.893302,1.08051,3.201802,1.263915,7.993125,3.041779,0.0,0.0
RandomPriority,0.250134,10.139551,10.129394,-1.113552,7.23423,-26.389624,2.893471,1.082167,3.201604,1.264527,7.993527,3.037477,0.0,0.0
RandomPriority,0.249965,10.139663,10.123572,-1.103691,7.239714,-26.399258,2.892761,1.081213,3.202023,1.266097,7.995041,3.03742,0.0,0.0
